requirement_id,role_id,skill_id,required_level
120,19,49,Expert
121,19,44,Advanced
122,19,43,Advanced
123,19,45,Advanced
124,20,1,Expert
125,20,51,Expert
126,20,73,Advanced
127,20,74,Advanced
128,20,77,Advanced
129,20,43,Advanced
130,20,33,Intermediate
131,21,33,Advanced
132,21,34,Intermediate
133,21,35,Intermediate
134,21,36,Intermediate
135,21,73,Advanced
136,21,74,Advanced
137,21,77,Advanced
138,22,33,Expert
139,22,34,Advanced
140,22,35,Advanced
141,22,36,Expert
142,22,37,Advanced
143,22,73,Advanced
144,22,74,Advanced
145,23,73,Expert
146,23,74,Expert
147,23,75,Advanced
148,23,77,Expert
149,23,78,Advanced
150,23,76,Expert
151,23,79,Advanced
152,23,80,Advanced
153,24,73,Advanced
154,24,74,Advanced
155,24,77,Advanced
156,24,79,Expert
157,24,80,Advanced
158,24,33,Advanced
159,24,15,Advanced
160,25,73,Advanced
161,25,74,Advanced
162,25,36,Advanced
163,25,77,Advanced
164,25,81,Advanced
165,25,82,Advanced
166,25,1,Intermediate
167,26,83,Advanced
168,26,85,Advanced
169,26,86,Advanced
170,26,87,Intermediate
171,26,1,Intermediate
172,26,21,Intermediate
173,26,70,Advanced
174,27,84,Expert
175,27,85,Expert
176,27,88,Expert
177,27,83,Advanced
178,27,87,Advanced
179,27,1,Intermediate
180,28,83,Advanced
181,28,84,Advanced
182,28,85,Advanced
183,28,87,Advanced
184,28,89,Advanced
185,28,1,Advanced
186,28,73,Intermediate
187,29,86,Advanced
188,29,83,Advanced
189,29,85,Intermediate
190,29,1,Intermediate
191,29,66,Advanced
192,29,70,Advanced
193,30,87,Advanced
194,30,85,Advanced
195,30,83,Advanced
196,30,90,Advanced
197,30,1,Intermediate
198,30,21,Intermediate
199,31,59,Advanced
200,31,55,Intermediate
201,31,56,Intermediate
202,31,66,Advanced
203,31,57,Intermediate
204,31,62,Intermediate
205,32,59,Advanced
206,32,4,Intermediate
207,32,19,Beginner
208,32,66,Advanced
209,32,55,Intermediate
210,32,67,Advanced
211,33,59,Expert
212,33,57,Advanced
213,33,66,Advanced
214,33,62,Intermediate
215,33,67,Advanced
216,34,66,Expert
217,34,70,Advanced
218,34,67,Advanced
219,34,72,Intermediate
220,34,71,Intermediate
221,35,59,Advanced
222,35,55,Advanced
223,35,4,Intermediate
224,35,66,Advanced
225,35,67,Expert
226,35,70,Advanced
227,36,21,Expert
228,36,22,Expert
229,36,23,Expert
230,36,24,Advanced
231,36,27,Advanced
232,36,28,Intermediate
233,36,1,Intermediate
234,37,55,Expert
235,37,56,Expert
236,37,21,Advanced
237,37,1,Advanced
238,37,62,Advanced
239,37,57,Advanced
240,37,58,Advanced
241,38,71,Expert
242,38,72,Advanced
243,38,65,Advanced
244,38,66,Advanced
245,38,68,Advanced
246,38,67,Advanced
247,39,72,Expert
248,39,65,Advanced
249,39,66,Expert
250,39,67,Advanced
251,39,71,Expert
252,39,70,Advanced
253,40,1,Intermediate
254,40,21,Beginner
255,40,76,Intermediate
256,40,66,Advanced
257,40,67,Advanced
258,40,83,Beginner
